"","habitatbenthopelagic","habitatdemersal","habitatpelagic","c_m","tm","Lm","tmax","K","Woo","M","TLDiet","Loo","fecundity","Min_caudalpeduncle_depth","Lower_jaw_length","Max_body_depth","Max_body_width","Temperature"
"Abudefduf_abdominalis",-72846.1722765676,45249.2186479986,83669.7143710919,70037.1452489635,3412.38698476148,-1941.16448270591,-1707.2005431766,-11921.6151116065,39426.9322331321,8864.83545619248,6560.06208442692,15766.000586836,53182.0408228831,-17425.5449495883,-7423.37019463048,-1908.8180862729,1458.98548914282,-21831.7000000001
"Abudefduf_bengalensis",-72839.8174640488,64772.3129527489,52079.4988148794,70241.1434102781,2727.94005680212,-2132.9913006437,215.7773260101,-14550.3835286195,49015.5955191639,6475.61850822695,10202.92,18861.2897876029,58923.6484316917,-22774.7802589015,-5085.16974575634,-2651.81102680672,684.05417425691,-29113.7
"Abudefduf_concolor",-42135.0861880056,40101.8608364865,27484.0408161119,74957.3842235553,10210.2524925784,-5177.55197793833,-2514.72301558053,-10048.262500386,29010.9263126192,5565.18382537102,24045.16,13432.9112413319,37746.3542346708,-9393.0532543757,18154.1223636212,-3885.00661173311,5706.33441709131,27348.3
"Abudefduf_conformis",-42138.6570351418,40092.5746174215,27498.8913317721,73218.1107734973,9777.57515060116,-5232.92853069165,-1580.45359117104,-11094.0420093549,28016.8481172735,4404.31521441344,22588.1001737119,13143.2228738759,37151.1075114435,-8798.41368380372,16696.2976179234,-4481.41510495355,7017.89916526318,-14543.2
"Abudefduf_declivifrons",-42128.2708092592,40118.6296597865,27453.6694720289,78896.8063501327,9545.08996978784,-5334.13706700918,-773.504475331056,-12323.8207016486,35259.954975144,3401.65358767803,27141.5693052292,15454.1643694772,41488.2159280825,-8409.92040608692,19103.0471781505,-5140.78137870843,5750.92215953711,-5436.20000000001
"Abudefduf_hoefleri",-42126.1207974014,40123.9872578673,27444.2333268417,73028.6361038258,9842.62442399173,-5267.47346686897,-1537.8750764918,-11337.7294990726,33207.026615343,4351.38801177152,27870.1394789219,14637.939932237,40258.9388297459,-8886.95512474102,17063.5546988215,-4445.68654984278,7048.55002108176,19449.7965537118
"Abudefduf_lorenzi",-42123.1496052514,40131.6626352998,27431.7683581768,72413.4842617314,8967.77185157349,-5438.06805483156,601.384036040272,-14000.1078755073,37582.7974700961,1693.34258833055,29145.0838214493,16058.0578724279,42879.1118136993,-9914.2754795379,16857.7004999484,-4488.42708561172,7602.91819787408,-34349.0483383427
"Abudefduf_margariteus",-59939.2350041818,60048.801191195,27598.3397725694,63768.6084394432,10698.7643842669,-4934.29474060598,-4340.98741293705,-7178.07920298079,10446.013701251,7834.35230115083,12206.1019107245,7547.00467853056,26629.8490937984,-8228.50565218132,10300.69163977,-4282.88321932013,8132.31381943027,-12447.8354690316
"Abudefduf_natalensis",-42129.9161032966,40114.2839922733,27460.3702278578,72953.329263849,10798.1065504955,-5078.96916730473,-3883.78665253136,-8409.3568369471,28192.1921553086,7266.10698499178,26230.92,13010.4179608299,37237.8473803844,-8809.38996926119,16898.7816786855,-4440.23453496951,7045.71731116156,78344.1
"Abudefduf_nigrimargo",-42146.7958983643,40072.1397662977,27534.2944646432,73292.329211824,10097.2861368058,-5144.3217479073,-2474.39392996401,-9875.45703950308,23355.9040741526,5515.04258343515,19127.4591314792,11732.8274286969,34360.1761730675,-8721.84780491222,16436.8598812353,-4498.69261193674,7000.29611859518,-11002.4955548253
"Abudefduf_notatus",-42136.4199467776,40098.180680802,27489.1379669064,74235.0537934722,9329.25104392204,-5333.70184826125,-427.216933226295,-12583.1552348721,31620.0463752099,2971.40066250828,23680.9338214493,14332.3881210656,39308.6706028883,-10779.8543384317,17201.780810544,-4998.64686749779,8103.77565967226,-36399.6
"Abudefduf_saxatilis",-46599.573506931,48625.1927984622,1298.51936629831,52870.2779171408,10019.4669877587,-366.407333039353,-10258.1743010264,-3528.27910041977,-39659.2033795326,13471.72053466,-10924.5794788933,-6321.90730877672,-30566.0846379207,-8043.8389415338,10273.6335120859,-6722.40288075159,2799.5065906944,-18186.65560837
"Abudefduf_septemfasciatus",-46562.3464774033,48723.8936505946,1148.11303973622,52008.544854491,8612.68014560545,-742.78605878528,-6382.69577233545,-8762.89693672317,-20690.3097086815,8656.58432863619,2917.25138961801,-580.466258992953,-19207.6697619992,-9484.23042881161,10424.8929068586,-5869.82108908154,1495.46635889507,-41224.124419173
"Abudefduf_sexfasciatus",-46542.8108933682,48774.728546127,1066.32713512454,45060.7627199551,8696.47206284685,-756.316826790837,-6459.99861240605,-8787.20968531055,-16886.359702771,8752.70278406986,10020.4,247.996011898503,-16929.8974986325,-8154.88168392038,6786.27879804743,-6252.17767353207,3820.59616959314,-3614.39999999999
"Abudefduf_sordidus",-46558.5473867759,48734.3636630565,1133.93633885231,53927.9495846777,8543.70135297327,-776.13584123662,-6129.15530165738,-9158.63425230112,-18219.3373193263,8341.58477155308,4374.23791557308,217.831287113239,-17728.0714933019,-8573.97416880004,12241.7572393673,-6533.12998851442,2296.03614498275,-36942.0901809353
"Abudefduf_sparoides",-46559.2846000267,48731.3798671544,1133.87224474363,40370.8688554159,9637.08312637787,-504.611889478163,-9051.57071996811,-5286.42407814484,-29031.0377940413,11972.6686738827,3463.69052110673,-3623.13031404267,-24202.0259582239,-6756.91824374277,4018.38189207005,-4838.47018657013,2484.07115356519,21883.7000000001
"Abudefduf_taurus",-65090.5438089473,-6682.31370249551,80044.8186407709,212554.215885583,6579.86540536344,-547.554859359075,-3829.51224432112,-7161.58570011179,84389.5529081467,2236.77183849992,42987.18,39981.6772811395,-29999.7703391736,-19112.309258769,46807.5631521305,-16336.086499281,-10523.4446882695,7313.09999999997
